time step,id,x,y,z
13,1202,0.419457,0.875273,0.674619
13,1206,0.344066,0.906532,0.871048
13,1209,0.439228,0.653121,0.925382
14,1205,0.253439,0.301032,0.320506
14,1207,0.457367,0.0361289,0.509794
14,1203,0.0130584,0.511211,0.107066
14,1204,0.936311,0.656101,0.493212
14,1210,0.892704,0.819663,0.361616
14,1208,0.772798,0.803175,0.0203841
14,1201,0.240577,0.4339,0.770845
14,1202,0.419463,0.875279,0.674597
14,1206,0.344049,0.906499,0.871058
14,1209,0.439201,0.653083,0.925372
15,1205,0.253395,0.301043,0.320513
15,1207,0.457344,0.0361236,0.509806
15,1203,0.0130681,0.511209,0.107074
15,1204,0.936279,0.656119,0.493272
15,1210,0.892745,0.819668,0.361611
15,1208,0.772821,0.803143,0.0203906
15,1201,0.240573,0.433921,0.770884
15,1202,0.41947,0.875284,0.674574
15,1206,0.344033,0.906466,0.871068
15,1209,0.439175,0.653046,0.925362
16,1205,0.253351,0.301054,0.32052
16,1207,0.45732,0.0361181,0.509819
16,1203,0.0130777,0.511207,0.107083
16,1204,0.936247,0.656137,0.493332
16,1210,0.892786,0.819674,0.361606
16,1208,0.772844,0.803112,0.0203975
16,1201,0.240569,0.433943,0.770925
16,1202,0.419476,0.875289,0.674552
16,1206,0.344017,0.906433,0.871078
16,1209,0.439148,0.653008,0.925352
17,1205,0.253306,0.301065,0.320527
17,1207,0.457297,0.0361124,0.509831
17,1203,0.0130872,0.511205,0.107091
17,1204,0.936215,0.656155,0.493392
17,1210,0.892827,0.819679,0.361601
17,1208,0.772867,0.80308,0.0204049
17,1201,0.240565,0.433966,0.770965
17,1202,0.419481,0.875294,0.67453
17,1206,0.344002,0.906401,0.871087
17,1209,0.439121,0.652971,0.925341
18,1205,0.253262,0.301077,0.320535
18,1207,0.457275,0.0361064,0.509843
18,1203,0.0130965,0.511204,0.107098
18,1204,0.936183,0.656173,0.493452
18,1210,0.892868,0.819685,0.361596
18,1208,0.772891,0.803048,0.0204128
18,1201,0.240561,0.433988,0.771006
18,1202,0.419487,0.875298,0.674508
18,1206,0.343987,0.906369,0.871097
18,1209,0.439094,0.652933,0.92533
19,1205,0.253217,0.301088,0.320542
19,1207,0.457253,0.0361002,0.509856
19,1203,0.0131057,0.511203,0.107105
19,1204,0.936151,0.656192,0.493512
19,1210,0.89291,0.819691,0.361591
19,1208,0.772915,0.803016,0.0204213
19,1201,0.240557,0.43401,0.771047
19,1202,0.419492,0.875302,0.674485
19,1206,0.343973,0.906337,0.871106
19,1209,0.439067,0.652895,0.925319
20,1205,0.253171,0.301099,0.32055
20,1207,0.457231,0.0360938,0.509868
20,1203,0.0131148,0.511202,0.107112
20,1204,0.936119,0.65621,0.493572
20,1210,0.892951,0.819696,0.361585
20,1208,0.772939,0.802984,0.0204302
20,1201,0.240554,0.434033,0.771088
20,1202,0.419496,0.875307,0.674463
20,1206,0.343959,0.906305,0.871114
20,1209,0.439039,0.652858,0.925308
21,1205,0.253126,0.301111,0.320558
21,1207,0.45721,0.0360872,0.509881
21,1203,0.0131237,0.511201,0.107118
21,1204,0.936087,0.656228,0.493633
21,1210,0.892993,0.819702,0.361579
21,1208,0.772964,0.802951,0.0204396
21,1201,0.24055,0.434055,0.77113
21,1202,0.419501,0.87531,0.67444
21,1206,0.343946,0.906274,0.871123
21,1209,0.439011,0.65282,0.925297
22,1205,0.25308,0.301122,0.320566
22,1207,0.457189,0.0360803,0.509894
22,1203,0.0131325,0.5112,0.107123
22,1204,0.936055,0.656247,0.493693
22,1210,0.893034,0.819708,0.361573
22,1208,0.772989,0.802919,0.0204494
22,1201,0.240547,0.434078,0.771173
22,1202,0.419505,0.875314,0.674417
22,1206,0.343933,0.906244,0.871131
22,1209,0.438983,0.652783,0.925286
23,1205,0.253034,0.301134,0.320574
23,1207,0.457169,0.0360731,0.509907
23,1203,0.0131412,0.5112,0.107128
23,1204,0.936023,0.656265,0.493753
23,1210,0.893075,0.819714,0.361567
23,1208,0.773015,0.802886,0.0204598
23,1201,0.240543,0.434101,0.771215
23,1202,0.419508,0.875318,0.674395
23,1206,0.343921,0.906213,0.871139
23,1209,0.438955,0.652745,0.925275
24,1205,0.252988,0.301145,0.320582
24,1207,0.457149,0.0360658,0.509919
24,1203,0.0131497,0.5112,0.107133
24,1204,0.935991,0.656284,0.493813
24,1210,0.893117,0.819721,0.361561
24,1208,0.773041,0.802853,0.0204707
24,1201,0.24054,0.434124,0.771258
24,1202,0.419511,0.875321,0.674372
24,1206,0.343909,0.906183,0.871147
24,1209,0.438926,0.652708,0.925263
25,1205,0.252941,0.301157,0.32059
25,1207,0.45713,0.0360582,0.509932
25,1203,0.0131581,0.5112,0.107137
25,1204,0.935959,0.656302,0.493873
25,1210,0.893159,0.819727,0.361554
25,1208,0.773068,0.80282,0.0204821
25,1201,0.240536,0.434147,0.771301
25,1202,0.419514,0.875324,0.674349
25,1206,0.343898,0.906153,0.871155
25,1209,0.438898,0.65267,0.925251
26,1205,0.252894,0.301169,0.320599
26,1207,0.457111,0.0360504,0.509945
26,1203,0.0131663,0.5112,0.107141
26,1204,0.935927,0.656321,0.493933
26,1210,0.8932,0.819733,0.361548
26,1208,0.773095,0.802787,0.0204939
26,1201,0.240533,0.43417,0.771345
26,1202,0.419517,0.875327,0.674326
26,1206,0.343888,0.906124,0.871162
26,1209,0.438869,0.652633,0.92524
27,1205,0.252847,0.301181,0.320607
27,1207,0.457092,0.0360424,0.509958
27,1203,0.0131744,0.5112,0.107144
27,1204,0.935895,0.656339,0.493993
27,1210,0.893242,0.81974,0.361541
27,1208,0.773122,0.802754,0.0205063
27,1201,0.24053,0.434194,0.771389
27,1202,0.419519,0.875329,0.674302
27,1206,0.343878,0.906095,0.87117
27,1209,0.43884,0.652596,0.925228
28,1205,0.2528,0.301193,0.320616
28,1207,0.457074,0.0360341,0.509972
28,1203,0.0131824,0.5112,0.107147
28,1204,0.935863,0.656358,0.494053
28,1210,0.893284,0.819746,0.361534
28,1208,0.773149,0.80272,0.0205191
28,1201,0.240527,0.434217,0.771433
28,1202,0.419521,0.875331,0.674279
28,1206,0.343868,0.906066,0.871176
28,1209,0.43881,0.652559,0.925216
29,1205,0.252752,0.301205,0.320624
29,1207,0.457057,0.0360256,0.509985
29,1203,0.0131902,0.511201,0.10715
29,1204,0.935832,0.656376,0.494113
29,1210,0.893325,0.819753,0.361527
29,1208,0.773177,0.802687,0.0205325
29,1201,0.240524,0.434241,0.771477
29,1202,0.419523,0.875334,0.674256
29,1206,0.343859,0.906038,0.871183
29,1209,0.438781,0.652522,0.925203
30,1205,0.252704,0.301217,0.320633
30,1207,0.45704,0.0360169,0.509998
30,1203,0.0131979,0.511202,0.107151
30,1204,0.9358,0.656395,0.494174
30,1210,0.893367,0.819759,0.36152
30,1208,0.773206,0.802653,0.0205463
30,1201,0.240521,0.434265,0.771522
30,1202,0.419524,0.875336,0.674232
30,1206,0.34385,0.90601,0.87119
30,1209,0.438752,0.652485,0.925191
31,1205,0.252656,0.301229,0.320642
31,1207,0.457023,0.0360079,0.510011
31,1203,0.0132055,0.511203,0.107153
31,1204,0.935768,0.656414,0.494234
31,1210,0.893409,0.819766,0.361512
31,1208,0.773235,0.802619,0.0205606
31,1201,0.240518,0.434288,0.771567
31,1202,0.419525,0.875337,0.674209
31,1206,0.343842,0.905982,0.871196
31,1209,0.438722,0.652448,0.925179
32,1205,0.252608,0.301241,0.32065
32,1207,0.457007,0.0359987,0.510024
32,1203,0.0132129,0.511204,0.107154
32,1204,0.935737,0.656432,0.494294
32,1210,0.893451,0.819773,0.361505
32,1208,0.773264,0.802585,0.0205754
32,1201,0.240515,0.434312,0.771612
32,1202,0.419526,0.875339,0.674185
32,1206,0.343835,0.905955,0.871202
32,1209,0.438692,0.652411,0.925166
33,1205,0.252559,0.301253,0.320659
33,1207,0.456991,0.0359893,0.510038
33,1203,0.0132202,0.511206,0.107155
33,1204,0.935705,0.656451,0.494353
33,1210,0.893492,0.81978,0.361497
33,1208,0.773293,0.802551,0.0205907
33,1201,0.240512,0.434336,0.771658
33,1202,0.419527,0.87534,0.674162
33,1206,0.343828,0.905928,0.871208
33,1209,0.438662,0.652374,0.925154
34,1205,0.252511,0.301265,0.320668
34,1207,0.456976,0.0359797,0.510051
34,1203,0.0132273,0.511207,0.107155
34,1204,0.935674,0.656469,0.494413
34,1210,0.893534,0.819787,0.361489
34,1208,0.773323,0.802517,0.0206065
34,1201,0.240509,0.434361,0.771703
34,1202,0.419527,0.875341,0.674138
34,1206,0.343821,0.905901,0.871213
34,1209,0.438632,0.652338,0.925141
35,1205,0.252462,0.301278,0.320678
35,1207,0.456961,0.0359699,0.510065
35,1203,0.0132343,0.511209,0.107154
35,1204,0.935643,0.656488,0.494473
35,1210,0.893576,0.819794,0.361481
35,1208,0.773353,0.802482,0.0206228
35,1201,0.240506,0.434385,0.771749
35,1202,0.419526,0.875342,0.674114
35,1206,0.343815,0.905875,0.871219
35,1209,0.438602,0.652301,0.925128
36,1205,0.252412,0.30129,0.320687
36,1207,0.456947,0.0359598,0.510078
36,1203,0.0132411,0.511211,0.107154
36,1204,0.935611,0.656506,0.494533
36,1210,0.893618,0.819801,0.361473
36,1208,0.773384,0.802448,0.0206395
36,1201,0.240503,0.434409,0.771796
36,1202,0.419526,0.875343,0.674091
36,1206,0.34381,0.905849,0.871224
36,1209,0.438571,0.652265,0.925115
37,1205,0.252363,0.301302,0.320696
37,1207,0.456933,0.0359495,0.510092
37,1203,0.0132478,0.511214,0.107152
37,1204,0.93558,0.656525,0.494593
37,1210,0.89366,0.819808,0.361464
37,1208,0.773415,0.802413,0.0206568
37,1201,0.2405,0.434434,0.771842
37,1202,0.419525,0.875343,0.674067
37,1206,0.343805,0.905824,0.871229
37,1209,0.438541,0.652228,0.925102
38,1205,0.252314,0.301315,0.320705
38,1207,0.45692,0.035939,0.510105
38,1203,0.0132544,0.511216,0.107151
38,1204,0.935549,0.656543,0.494652
38,1210,0.893702,0.819815,0.361456
38,1208,0.773446,0.802378,0.0206745
38,1201,0.240497,0.434458,0.771889
38,1202,0.419524,0.875344,0.674043
38,1206,0.3438,0.905798,0.871233
38,1209,0.43851,0.652192,0.925089
39,1205,0.252264,0.301327,0.320715
39,1207,0.456907,0.0359282,0.510119
39,1203,0.0132608,0.511219,0.107149
39,1204,0.935518,0.656562,0.494712
39,1210,0.893744,0.819822,0.361447
39,1208,0.773478,0.802343,0.0206928
39,1201,0.240494,0.434483,0.771936
39,1202,0.419523,0.875344,0.674019
39,1206,0.343797,0.905773,0.871238
39,1209,0.438479,0.652156,0.925076
40,1205,0.252214,0.30134,0.320724
